"Query Name","Hit Contig ID","Hit length","Nb. HSPs","Score ","E Value ","Align. length","Identity","Query Start Position","Query End Position","Query frame","Query Coverage","Hit Start Position","Hit End Position","Hit frame","Hit coverage"
"EarlyHisEnd Positionne","Utg196252_LN:i:191786_RC:i:10_XO:i:0_pilon",191765,2,54,2E-018,54,100%,90,143,1,0.8%,91248,91301,1,0%
"EarlyHisEnd Positionne","Utg196094_LN:i:655361_RC:i:45_XO:i:0_pilon",653486,2,187,2E-092,199,98%,1539,1737,1,3%,578294,578492,1,0%
"EarlyHisEnd Positionne","Utg196094_LN:i:655361_RC:i:45_XO:i:0_pilon",653486,2,104,3E-046,122,95.1%,1770,1891,1,1.8%,578491,578612,1,0%
"EarlyHisEnd Positionne","Utg196474_LN:i:1168238_RC:i:125_XO:i:0_pilon",1189290,2,181,5E-089,181,100%,3987,4167,1,2.7%,1136855,1137035,1,0%
"EarlyHisEnd Positionne","Utg196474_LN:i:1168238_RC:i:125_XO:i:0_pilon",1189290,2,83,1E-034,112,92%,3735,3846,1,1.7%,1023000,1022893,-1,0%
"EarlyHisEnd Positionne","Utg200140_LN:i:179218_RC:i:30_XO:i:0_pilon",187460,2,167,3E-081,184,97.3%,6528,6710,1,2.7%,36064,35883,-1,0.1%
"EarlyHisEnd Positionne","Utg200140_LN:i:179218_RC:i:30_XO:i:0_pilon",187460,2,141,8E-067,148,98.6%,1,148,1,2.2%,35888,35743,-1,0.1%
"EarlyHisEnd Positionne","Utg197168_LN:i:447613_RC:i:41_XO:i:0_pilon",445176,2,162,2E-078,183,96.2%,6528,6710,1,2.7%,283676,283494,-1,0%
"EarlyHisEnd Positionne","Utg197168_LN:i:447613_RC:i:41_XO:i:0_pilon",445176,2,52,2E-017,55,98.2%,1,55,1,0.8%,283499,283445,-1,0%
"EarlyHisEnd Positionne","Utg197144_LN:i:898529_RC:i:80_XO:i:0_pilon",907401,1,162,2E-078,174,97.7%,4313,4486,1,2.6%,395560,395733,1,0%
"EarlyHisEnd Positionne","Utg196190_LN:i:862295_RC:i:64_XO:i:0_pilon",877588,2,161,6E-078,190,95.3%,5774,5963,1,2.8%,83866,83681,-1,0%
"EarlyHisEnd Positionne","Utg196190_LN:i:862295_RC:i:64_XO:i:0_pilon",877588,2,125,6E-058,145,95.9%,1,141,1,2.1%,260908,261052,1,0%
"EarlyHisEnd Positionne","Utg196456_LN:i:315786_RC:i:27_XO:i:0_pilon",317309,2,160,2E-077,219,91.3%,4238,4456,1,3.3%,268888,268674,-1,0.1%
"EarlyHisEnd Positionne","Utg196456_LN:i:315786_RC:i:27_XO:i:0_pilon",317309,2,42,9E-012,45,97.8%,5299,5343,1,0.7%,311038,310994,-1,0%
"EarlyHisEnd Positionne","Utg198890_LN:i:582249_RC:i:33_XO:i:0_pilon",589763,1,141,8E-067,159,96.2%,1443,1601,1,2.4%,418422,418264,-1,0%
"EarlyHisEnd Positionne","Utg197032_LN:i:395122_RC:i:30_XO:i:0_pilon",402638,1,140,3E-066,149,98%,5235,5383,1,2.2%,44692,44544,-1,0%
"EarlyHisEnd Positionne","Utg202044_LN:i:119070_RC:i:12_XO:i:0_pilon",116447,1,130,1E-060,186,90.9%,4316,4496,1,2.7%,114775,114595,-1,0.2%
"EarlyHisEnd Positionne","Utg196274_LN:i:1267481_RC:i:94_XO:i:0_pilon",1270408,1,128,1E-059,135,98.5%,1608,1741,1,2%,80641,80507,-1,0%
"EarlyHisEnd Positionne","Utg200702_LN:i:154323_RC:i:15_XO:i:0_pilon",157581,1,127,5E-059,200,88%,3788,3985,1,3%,87821,88020,1,0.1%
"EarlyHisEnd Positionne","Utg196490_LN:i:94257_RC:i:8_XO:i:0_pilon",93798,1,115,2E-052,115,100%,1420,1534,1,1.7%,16727,16841,1,0.1%
"EarlyHisEnd Positionne","Utg198946_LN:i:351892_RC:i:21_XO:i:0_pilon",365455,1,107,6E-048,122,95.9%,1623,1744,1,1.8%,228643,228522,-1,0%
"EarlyHisEnd Positionne","Utg198338_LN:i:395293_RC:i:40_XO:i:0_pilon",397888,1,107,6E-048,107,100%,1638,1744,1,1.6%,278373,278479,1,0%
"EarlyHisEnd Positionne","Utg198370_LN:i:511824_RC:i:43_XO:i:0_pilon",519637,1,103,1E-045,103,100%,1594,1696,1,1.5%,162367,162265,-1,0%
"EarlyHisEnd Positionne","Utg202870_LN:i:40221_RC:i:7_XO:i:0_pilon",35339,1,98,6E-043,117,94.9%,5161,5277,1,1.7%,16634,16749,1,0.3%
"EarlyHisEnd Positionne","Utg196810_LN:i:827911_RC:i:92_XO:i:0_pilon",835873,1,91,5E-039,100,97%,4184,4283,1,1.5%,11661,11760,1,0%
"EarlyHisEnd Positionne","Utg197344_LN:i:501934_RC:i:24_XO:i:0_pilon",508141,1,87,8E-037,97,96.9%,1590,1685,1,1.4%,87921,88017,1,0%
"EarlyHisEnd Positionne","Utg199324_LN:i:118002_RC:i:11_XO:i:0_pilon",128850,1,86,3E-036,89,98.9%,1743,1831,1,1.3%,125701,125789,1,0.1%
"EarlyHisEnd Positionne","Utg196378_LN:i:2032899_RC:i:203_XO:i:0_pilon",2067654,1,86,3E-036,129,89.1%,152,280,1,1.9%,1322104,1322230,1,0%
